2013-08-27 15:21:10,560 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,560 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,560 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,560 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,560 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,560 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,560 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,572 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:10,574 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:11,123 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 3] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:11,123 [12] WARN  Umbraco.Web.UmbracoModule - [Thread 3] Umbraco is not configured
2013-08-27 15:21:11,124 [12] INFO  Umbraco.Core.ApplicationContext - [Thread 11] CurrentVersion different from configStatus: '6.1.4',''
2013-08-27 15:21:11,124 [12] WARN  Umbraco.Web.UmbracoModule - [Thread 11] Umbraco is not configured
2013-08-27 15:22:02,063 [12] ERROR umbraco.BusinessLogic.Application - [Thread 11] Can't instantiate SQLHelper with connectionstring ""
System.ArgumentNullException: Value cannot be null.
Parameter name: connectionString
   at umbraco.DataLayer.DataLayerHelper.CreateSqlHelper(String connectionString, Boolean forceLegacyConnection)
   at umbraco.BusinessLogic.Application.get_SqlHelper()
2013-08-27 15:22:07,289 [12] ERROR umbraco.BusinessLogic.Application - [Thread 13] Can't instantiate SQLHelper with connectionstring ""
System.ArgumentNullException: Value cannot be null.
Parameter name: connectionString
   at umbraco.DataLayer.DataLayerHelper.CreateSqlHelper(String connectionString, Boolean forceLegacyConnection)
   at umbraco.BusinessLogic.Application.get_SqlHelper()
2013-08-27 15:29:55,765 [12] INFO  Umbraco.Core.DatabaseContext - [Thread 8] Configured a new ConnectionString using the 'System.Data.SqlClient' provider.
2013-08-27 15:29:56,116 [12] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 3] Application shutdown. Reason: ConfigurationChange
2013-08-27 15:29:56,636 [26] INFO  Umbraco.Core.PluginManager - [Thread 23] Determining hash of code files on disk
2013-08-27 15:29:56,649 [26] INFO  Umbraco.Core.PluginManager - [Thread 23] Hash determined (took 6ms)
